Row Labels,Average of NO2 Mean,Average of O3 Mean,Average of SO2 Mean,Average of CO Mean
36924,43.125,0.008292,4.497826,1.8666665
36925,40.166667,0.005333,5.4479165,2.0770835
36926,34.541667,0.008,3.3229165,1.7270835
36927,37.458333,0.00525,4.2708335,1.8541665
36928,29.52381,0.008833,1.957143,0.9772725
36929,18.541667,0.022375,0.9145835,0.4104165
36930,17.041667,0.022292,0.2041665,0.2479165
36931,28.875,0.010125,1.640909,0.7333335
36932,29.125,0.014917,2.49375,1.3854165
36933,32.125,0.01175,1.2895835,0.76875
36934,34.952381,0.008375,2.40303,0.968025
36935,26.52381,0.012583,1.272078,0.5863635
36936,28.791667,0.010208,0.4083335,0.4895835
36937,38.458333,0.008917,1.4479165,0.8958335
36938,33,0.009083,1.85625,1.183333
36939,41,0.00925,3.73125,2.054167
36940,38.916667,0.01225,3.0208335,1.61875
36941,36.833333,0.011667,1.8229165,0.9375
36942,38.090909,0.007167,2.45303,1.1704545
36943,38.5,0.0065,2.3229165,1.041667
36944,36.666667,0.0075,2.73125,1.15
36945,18.541667,0.026708,0.8229165,0.514583
36946,17.458333,0.027,0.24375,0.3020835
36947,18.875,0.02,0.4083335,0.38125
36948,26.565217,0.01075,0.9142855,0.596739
36949,25.090909,0.012875,1.2242235,0.613949
36950,27.583333,0.0075,0.3229165,0.485417
36951,35.416667,0.009417,1.9416665,1.0875
36952,31.75,0.013667,1.8229165,0.73125
36953,30.041667,0.019,1.3166665,0.8020835
36954,29.25,0.017917,1.5333335,0.7604165
36955,41.791667,0.005667,2.98125,1.14375
36956,28.272727,0.0145,1.360606,0.6039775
36957,22.75,0.010958,0.9083335,0.46875
36958,32.166667,0.007083,1.557143,0.783333
36959,27.083333,0.015208,2.4045455,0.822917
36960,14.416667,0.028083,1.0395835,0.3333335
36961,24.166667,0.012958,1,0.55
36962,32.956522,0.016375,2.4673915,1.1765155
36963,32.347826,0.021235,2.634472,0.788487
36964,30.166667,0.01825,2.5666665,0.6875
36965,33.083333,0.022,2.7375,0.8604165
36966,30.125,0.023333,2.725,0.6075185
36967,28.333333,0.025542,2.11875,0.7375
36968,26.333333,0.023583,2.1916665,0.7333335
36969,32.791667,0.018458,5.0824675,0.975
36970,39.826087,0.019792,3.8714285,1.377536
36971,41.916667,0.017833,2.3166665,1.1895835
36972,35.833333,0.014625,1.4479165,0.936154
36973,33.833333,0.012958,2.0333335,0.990769
36974,32.75,0.019875,2.0666665,1.158846
36975,33.5,0.024833,1.85625,1.256923
36976,37.782609,0.016625,1.683766,0.563447
36977,32.173913,0.020375,1.1152175,0.5042575
36978,33.5,0.017208,1.5208335,0.55
36979,27.583333,0.030292,1.23125,0.4895835
36980,26.791667,0.022167,0.86875,0.5354165
36981,32.625,0.019667,1.5666665,0.947917
36982,22.5,0.02625,0.5729165,0.65625
36983,16.666667,0.024333,0.11875,0.20625
36984,16.173913,0.020333,0.0431675,0.2384055
36985,24.875,0.019792,0.7833335,0.4875
36986,17.136364,0.027292,0,0.2172345
36987,19.208333,0.028833,0.11875,0.3166665
36988,17.208333,0.036292,0.0395835,0.4541665
36989,15.416667,0.031875,0.0791665,0.3541665
36990,26.26087,0.036625,0.402795,0.806439
36991,17.227273,0.036042,0,0.372538
36992,21.916667,0.032375,0.0238095,0.48125
36993,28.541667,0.023792,0.395,0.5770835
36994,34.916667,0.024667,0.8424245,0.9916665
36995,33.875,0.029083,1.097619,1.1145835
36996,32.083333,0.030208,0.7933335,0.935417
36997,40.916667,0.020708,2.2440995,1.445833
36998,46.105263,0.022042,2.2369565,1.48279
36999,37.875,0.023542,1.725,1.0854165
37000,40.375,0.017708,1.4020835,0.9416665
37001,15.083333,0.039833,0,0.3125
37002,16.458333,0.032583,0.222981,0.39375
37003,21.916667,0.031083,0.1666665,0.5479165
37004,29.826087,0.024125,0.79697,0.7727355
37005,42,0.015833,3.2642855,1.5325395
37006,38.25,0.014278,2.4875,1.1875
37007,27.916667,0.033056,1.4083335,0.7166665
37008,28.75,0.026375,1.6916665,0.6958335
37009,18.5,0.0295,0.6583335,0.416667
37010,24.958333,0.025458,1.5604165,0.8125
37011,34.666667,0.021083,1.9083335,0.9229165
37012,37.714286,0.014471,3.425974,1.4333335
37013,21.916667,0.033583,2.1583335,0.9416665
37014,16.75,0.036542,0.4541665,0.35
37015,20,0.033042,0.9083335,0.4458335
37016,24.666667,0.037417,1.61875,0.525
37017,29.916667,0.032417,2.1125,0.9791665
37018,37.380952,0.028875,3.0795455,1.187311
37019,45,0.006417,3.8059005,1.327808
37020,34.166667,0.005792,2.6979165,1.0625
37021,36.458333,0.024875,2.6125,0.8875
37022,35.458333,0.025667,2.7375,1.1541665
37023,22,0.042875,2.2895835,0.98125
37024,9.333333,0.037917,1.0791665,0.302083
37025,24.333333,0.028542,1.8166665,0.51875
37026,25.363636,0.022125,2.1551945,0.6875
37027,31.75,0.021167,2.8625,0.7541665
37028,31.166667,0.021417,3.1011905,0.9270835
37029,24.125,0.019375,1.7375,0.6270835
37030,16.916667,0.020833,0.61875,0.39375
37031,10.833333,0.038792,1.0729165,0.327083
37032,28.26087,0.026958,1.9139755,0.5982955
37033,37.454545,0.031208,2.198052,0.718561
37034,35.208333,0.028792,2.61875,1.19375
37035,29.583333,0.03175,2.0791665,0.99375
37036,28.25,0.025583,1.6520835,0.55625
37037,26,0.026875,1.4875,0.56875
37038,18.458333,0.027917,1.1645835,0.4416665
37039,18.541667,0.030417,1.1583335,0.364583
37040,23.083333,0.026542,1.7770835,0.44375
37041,28.083333,0.030792,1.7770835,0.4604165
37042,25.954545,0.031292,1.24375,0.4375
37043,21.47619,0.027958,1.740683,0.414583
37044,13.625,0.03325,0.740909,0.277083
37045,11.791667,0.038333,1.1125,0.2604165
37046,22.863636,0.027778,1.172671,0.3980075
37047,29.833333,0.022778,1.5666665,0.6486745
37048,30.833333,0.026333,1.3090065,0.7875
37049,35,0.022417,1.9875,0.8125
37050,29.833333,0.025833,2.128882,1.0625
37051,25.125,0.024708,1.053788,0.7375
37052,16.125,0.032458,0.2661495,0.6041665
37053,20.25,0.026833,0.44,0.3958335
37054,16.380952,0.024458,0.7552795,0.338134
37055,12.333333,0.039125,0.4479165,0.2604165
37056,24.375,0.034667,0.4916665,0.3479165
37057,40.083333,0.028083,2.975,1.04375
37058,32.708333,0.033833,2.7833335,1.3520835
37059,23.791667,0.032417,1.179503,0.935417
37060,25.590909,0.027958,0.884737,0.6844445
37061,18.428571,0.027042,0.4244445,0.225
37062,15.583333,0.037375,0.73125,0.2354165
37063,17.75,0.040292,1.0270835,0.2479165
37064,15.125,0.040083,0.8776395,0.2020835
37065,15.25,0.037875,1.24375,0.1958335
37066,16.833333,0.025167,1.2041665,0.216667
37067,26,0.01425,1.9875,0.3395835
37068,22.136364,0.018,1.7409935,0.418371
37069,27.291667,0.020125,2.23125,0.5625
37070,32.416667,0.020083,3.23125,0.5375
37071,31.25,0.021125,2.7770835,0.5354165
37072,19.25,0.030375,2.24375,0.3645835
37073,16.333333,0.031667,2.0333335,0.3145835
37074,27.384615,0.027077,1.3,0.4990385
37075,16.15,0.0326,0.450476,0.3317855
37076,13.625,0.045,0.61875,0.270833
37077,9.666667,0.041458,0.9541665,0.2229165
37078,19.75,0.026792,1,0.3520835
37079,22.916667,0.028917,1.2833335,0.5104165
37080,19.375,0.024625,1.2895835,0.370833
37081,29.166667,0.026583,2.2833335,0.4729165
37082,22.809524,0.026375,2.0967535,0.4386365
37083,19.416667,0.030208,1.5270835,0.3395835
37084,22.916667,0.034833,1.6583335,0.4833335
37085,31.083333,0.028917,2.1979165,0.752083
37086,23.75,0.028792,2.0270835,0.6854165
37087,11.833333,0.026958,1.6125,0.277083
37088,21.565217,0.022875,2.4180125,0.3531705
37089,16.857143,0.024875,1.984524,0.345644
37090,18.291667,0.023708,1.6458335,0.3979165
37091,17.291667,0.022167,1.6520835,0.352083
37092,17.75,0.0235,1.74375,0.3770835
37093,14.083333,0.029542,1.60625,0.322917
37094,12.791667,0.029167,1.1979165,0.2520835
37095,25.291667,0.028882,2.10625,0.377083
37096,19.409091,0.026158,2.9174245,0.6719205
37097,15.5,0.033708,1.36875,0.3708335
37098,21.25,0.036125,2.1125,0.354167
37099,19.875,0.027955,1.49375,0.375
37100,12.708333,0.031583,1.3166665,0.2375
37101,4.875,0.041625,0.9145835,0.1895835
37102,14.826087,0.037364,1.039394,0.3240035
37103,22.55,0.031,1.35,0.5597745
37104,19.47619,0.033833,0.4875,0.3708335
37105,20.75,0.042417,1.35625,0.4229165
37106,12.083333,0.040792,0.4875,0.327083
37107,13.916667,0.040333,0.8229165,0.3375
37108,15.958333,0.0445,0.8166665,0.3708335
37109,25.833333,0.040083,1.1583335,0.5916665
37110,28.772727,0.026333,1.108385,0.5339015
37111,25.083333,0.026542,0.9083335,0.4875
37112,15.9375,0.043667,0.0555555,0.3579365
37116,18.347826,0.040542,0,0.400987
37117,25.619048,0.023583,0.55,0.478409
37118,27.583333,0.033542,0.36875,0.5333335
37119,29.875,0.037625,0.61875,0.577083
37120,23.833333,0.042667,0.2590065,0.5020835
37121,15.208333,0.038125,0.0431675,0.41875
37122,20.916667,0.035292,0.0863355,0.460417
37123,22.4,0.029208,0.36875,0.475
37125,35.375,0.019667,0.7207795,0.479167
37126,39.363636,0.02595,2.2375,0.9
37127,40.583333,0.030316,3.3625,1.19375
37128,34.208333,0.025542,3.60625,1.4979165
37129,27.125,0.032722,2.4479165,1.072917
